ID;Authors;Author full names;Affiliations;Title;Year;Source Title;Type of Source Title;Source Title Abbreviation;Page Start;Page End;Cited by;Abstract;Author Keyword;Index Keyword;Language;Document Type;Type of Study;Research Type of Primary Studies;SWEBOK;Study goal and contribution;Study review;SE area;Observations
SCP0033;"O'Meara C.; Fernández-Campoamor M.; Cortiana G.; Bernabé-Moreno J.";"O'Meara, Corey (57948062900); Fernández-Campoamor, Marina (57205347548); Cortiana, Giorgio (57383383800); Bernabé-Moreno, Juan (56201964600)";"E.ON Digital Technology GmbH, Essen, Germany; University of Granada, Department of Computer Science and A.I., Granada, Spain";Quantum Software Architecture Blueprints for the Cloud: Overview and Application to Peer-2-Peer Energy Trading;2023;Conference on Technologies for Sustainability;Computer Science;IEEE Conf. Technol. Sustain., SusTech;191;198;6;Applied quantum computing research has often focused on determining business-driven use-cases and applications of quantum algorithms which may provide advantage, either runtime or solution quality, over their classical counterparts. Often missed, yet equally important, is the discussion on how to actually run quantum software applications or models in a production environment where they run in an event-based or scheduled manner thereby providing the results to the enterprise which has spent time upskilling their development team and developing the quantum software solution.In this paper, we introduce a hybrid classical-quantum cloud architecture blueprint which starts from the code-level software development level, and extends to the production-ready quantum software application level. We then, for the first time, introduce a novel sample optimization application used in the energy industry for Peer-2-Peer energy trading and deploy it using the proposed cloud architecture blueprint. We demonstrate sample output of the live-running application where trading optimizations occurs on an hourly basis via remote connection to a quantum computing cloud backend.  © 2023 IEEE.;"cloud environment; Hyrbid quantum-classical application; quantum algorithm; QUBO; software architecture";"Application programs; Cloud computing architecture; Commerce; Quantum computers; Quantum theory; Software architecture; Software design; Cloud architectures; Cloud environments; Energy trading; Hyrbid quantum-classical application; Peer 2 peer; Quantum algorithms; Quantum Computing; Quantum-classical; QUBO; Software applications; Blueprints";English;Conference Paper;Primary Study;Evaluation research;Software Architecture;"O artigo tem como objetivo propor uma arquitetura de referência para aplicações de software quântico implantadas na nuvem, com foco na integração de componentes clássicos e quânticos em fluxos de trabalho contínuos e automatizados. A proposta visa preencher uma lacuna existente na literatura ao fornecer diretrizes práticas sobre como estruturar, implantar e operar aplicações híbridas em ambientes de produção, utilizando recursos de computação quântica disponíveis via serviços em nuvem.

Como contribuição, o estudo apresenta um blueprint arquitetural que combina práticas consolidadas de DevOps — como integração contínua, conteinerização e orquestração — com a execução de algoritmos quânticos, aplicando a proposta a um caso real de leilão de energia ponto a ponto. A arquitetura demonstrada permite que serviços quânticos sejam acionados periodicamente, com gerenciamento estruturado de resultados, logs e desempenho, mostrando sua adaptabilidade a diferentes provedores de nuvem. O trabalho oferece evidências práticas de viabilidade para a execução regular de aplicações quânticas em ambientes híbridos, promovendo a aproximação entre engenharia de software clássica e paradigmas emergentes da computação quântica.";O trabalho propôs uma arquitetura de referência para aplicações de software quântico implantadas na nuvem, com foco na integração de componentes clássicos e quânticos em fluxos de trabalho contínuos e automatizados. ;Quantum reference architecture;
WOS1314;"Jiménez-Navajas, L; Pérez-Castillo, R; Piattini, M";"Jimenez-Navajas, Luis; Perez-Castillo, Ricardo; Piattini, Mario";"aQuantum, Faculty of Social Sciences & IT, University of Castilla-La Mancha Talavera de la Reina, Spain ; aQuantum, Information Technology and Systems Institute, University of Castilla-La Mancha Talavera de la Reina, Spain";Reverse Engineering of OpenQASM3 Quantum Programs to KDM Models;2023;International Conference on Evaluation of Novel Approaches to Software Engineering  ;Software Engineering;ENASE;513;520;0;The development of quantum computing is following a substantial growth. This leads us closer to the implementation of practical solutions based on quantum software that address problems that are not computable by classical software in a practical timeframe. Hence, some companies will need to adapt their development practices and, so, their information systems to take advantage of quantum computing. Unfortunately, there is still a lack of tools, frameworks, and processes to support the evolution of current systems towards the combination of the quantum and classical paradigms into information systems. Hence, this paper presents a reverse engineering technique to generate abstract models based on the Knowledge Discovery Metamodel (KDM) by analyzing quantum software written in OpenQASM3. The main implication is that KDM models represent, in a technology-agnostic way, the different components and interrelationships of quantum software. These models then can be used to restructure and redesign the target hybrid information system.;"Reverse Engineering; Quantum Computing; OpenQASM3; KDM";;English;Conference Paper;Primary Study;Proposal of solution;Software Engineering Models and Methods;Apresentar uma técnica de engenharia reversa para gerar modelos abstratos baseados no Metamodelo de Descoberta de Conhecimento (KDM) a partir da análise de software quântico escrito em OpenQASM3. Isso permite a representação agnóstica de componentes e inter-relacionamentos de software quântico, que podem ser usados no processo de modernização para sistemas de informação híbridos.;Apresentar uma técnica de engenharia reversa para gerar modelos abstratos baseados no Metamodelo de Descoberta de Conhecimento (KDM) a partir da análise de software quântico escrito em OpenQASM3.;Quantum reverse engineering;
SCP0047;"Jiménez-Navajas L.; Pérez-Castillo R.; Piattini M.";"Jiménez-Navajas, Luis (57219055630); Pérez-Castillo, Ricardo (34977424500); Piattini, Mario (7004203473)";"aQuantum, Faculty of Social Sciences and IT, University of Castilla-La Mancha Talavera de la Reina, Spain; aQuantum, Information Technology and Systems Institute, University of Castilla-La Mancha Ciudad Real, Spain";Reverse Engineering of Classical-Quantum Programs;2024;International Conference on Evaluation of Novel Approaches to Software Engineering  ;Software Engineering;ENASE;275;282;0;Quantum computing has emerged as a crucial technology, which is expected to be progressively integrated into current, traditional information systems. Society could be benefited from several potential, promising applications based on quantum computing. To achieve such advantages, this new paradigm will require integrating the quantum software into the new hybrid (classical-quantum) information systems. Thus, it is necessary to adapt well-known and validated software engineering methods and techniques, such as software evolution methods based on Model-Driven Engineering principles. In particular, the proposal of this paper is framed in the Quantum Software Modernization process, and, in particular, it addresses the reverse engineering phase. The main contribution is a reverse engineering technique that analyses quantum (Qiskit) and classical (Python) code and builds a common, abstract model that combines both classical and quantum elements. The models are built in a technology-agnostic manner through the Knowledge Discovery Metamodel. Within this technique, relationships have been established between classical and quantum elements which can help to preserve knowledge and provide meaningful insights during the evolution toward hybrid information systems. The functioning of this technique is demonstrated through a running example with a program from the Qiskit Github repository. © 2024 by SCITEPRESS – Science and Technology Publications, Lda.;"Knowledge Discovery Metamodel; Qiskit; Quantum Computing; Reverse Engineering; Software Modernization";"Data mining; Information systems; Information use; Quantum computers; Software design; 'current; Classical-quantum; Crucial technology; Knowledge discovery metamodel; Meta model; Qiskit; Quantum Computing; Quantum-information systems; Software modernization; Validated softwares; Reverse engineering";English;Conference Paper;Primary Study;Proposal of solution;Software Maintenance;Propor uma técnica de engenharia reversa para a fase de Modernização de Software Quântico, que analisa código quântico (Qiskit) e clássico (Python) e constrói um modelo abstrato comum (KDM), combinando elementos de ambos para preservar o conhecimento durante a evolução para sistemas de informação híbridos (clássico-quânticos).;Técnica de engenharia reversa;Quantum reverse engineering;
SCP0251;"Weder B.; Barzen J.; Leymann F.; Zimmermann M.";"Weder, Benjamin (57215318521); Barzen, Johanna (55650592400); Leymann, Frank (6603379902); Zimmermann, Michael (7201478503)";University of Stuttgart, Institute of Architecture of Application Systems, Universitätsstraße 38, Stuttgart, Germany;Hybrid Quantum Applications Need Two Orchestrations in Superposition: A Software Architecture Perspective;2021;International Conference on Web Services;Software Engineering;Proc. - IEEE Int. Conf. Web Serv., ICWS;1;13;18;Quantum applications are most often hybrid, i.e., they are not only made of implementations of pure quantum algorithms but also of classical programs as well as workflows and topologies as key artifacts, and data they process. Since workflows and topologies are referred to as 'orchestrations' in modern terminology (but with very different meanings), two orchestrations that go hand-in-hand are required to realize quantum applications. We motivate this by means of a nontrivial example, sketch these orchestration technologies, and reveal the overall structure of non-trivial quantum applications. Furthermore, we discuss the implied architecture of a runtime environment for such quantum applications. To validate the introduced architecture, we present a prototypical implementation based on the Camunda workflow engine, its associated modeling tool, as well as the OpenTOSCA ecosystem. © 2021 IEEE.;"Hybrid Quantum-Classical Applications; NISQ; Quantum Computing; Runtime for Quantum Applications; Software Engineering of Quantum Applications";"Application programs; Quantum computers; Quantum theory; Hybrid quantum-classical application; NISQ; Quantum applications; Quantum Computing; Quantum-classical; Runtime for quantum application; Runtimes; Software engineering of quantum application; Work-flows; Topology";English;Conference Paper;Primary Study;Proposal of solution;Software Architecture;"O artigo tem como objetivo propor uma perspectiva arquitetural para aplicações híbridas quânticas que requerem dois tipos distintos de orquestração: a orquestração clássica de fluxos de trabalho e a orquestração quântica dos circuitos. A proposta surge da observação de que, para alcançar um desempenho eficaz e escalável, essas aplicações precisam integrar e coordenar esses dois níveis de controle de forma simultânea e harmônica.

Como contribuição, o artigo introduz a ideia de uma “superposição de orquestrações”, onde a arquitetura de software deve lidar com a execução coordenada de tarefas clássicas e quânticas, levando em conta características como latência, paralelismo, variabilidade de hardware e dependências entre tarefas. Os autores analisam cenários reais de uso, como workflows em bioinformática e química computacional, e destacam a necessidade de plataformas que consigam abstrair e orquestrar as complexidades envolvidas. A pesquisa reforça a importância de desenvolver arquiteturas especializadas e ferramentas de apoio para aplicações quânticas híbridas com múltiplos requisitos de orquestração.";O artigo tem como objetivo propor uma perspectiva arquitetural para aplicações híbridas quânticas que requerem dois tipos distintos de orquestração: a orquestração clássica de fluxos de trabalho e a orquestração quântica dos circuitos. ;Quantum software architectural orchestration;
SCP0122;"Aktar M.S.; Liang P.; Waseem M.; Tahir A.; Ahmad A.; Zhang B.; Li Z.";"Aktar, Mst Shamima (58146654300); Liang, Peng (24923262400); Waseem, Muhammad (57189504629); Tahir, Amjed (36198634600); Ahmad, Aakash (36760479100); Zhang, Beiqi (57573108600); Li, Zengyang (46061313300)";"School of Computer Science, Wuhan University, Wuhan, 430072, China; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, FI 40014, Finland; School of Mathematical and Computational Sciences, Massey University, Palmerston North, 4442, New Zealand; School of Computing and Communications, Lancaster University Leipzig, Leipzig, 04109, Germany; School of Computer Science, Central China Normal University, Wuhan, China";Architecture decisions in quantum software systems: An empirical study on Stack Exchange and GitHub;2025;Information and Software Technology;Software Engineering;INFSOF;0;0;1;Context: Quantum computing provides a new dimension in computation, utilizing the principles of quantum mechanics to potentially solve complex problems that are currently intractable for classical computers. However, little research has been conducted about the architecture decisions made in quantum software development, which have a significant influence on the functionality, performance, scalability, and reliability of these systems. Objective: The study aims to empirically investigate and analyze architecture decisions made during the development of quantum software systems, identifying prevalent challenges and limitations by using the posts and issues from Stack Exchange and GitHub. Methods: We used a qualitative approach to analyze the obtained data from Stack Exchange Sites and GitHub projects — two prominent platforms in the software development community. Specifically, we collected data from 385 issues (from 87 GitHub projects) and 70 posts (from 3 Stack Exchange sites) related to architecture decisions in quantum software development. Results: The results show that in quantum software development (1) architecture decisions are articulated in six linguistic patterns, the most common of which are Solution Proposal and Information Giving, (2) the two major categories of architectural decisions are Implementation Decision and Technology Decision, (3) Software Development Tools are the most common application domain among the twenty application domains identified, (4) Maintainability is the most frequently considered quality attribute, and (5) Design Issues and High Error Rates are the major limitations and challenges that practitioners face when making architecture decisions in quantum software development. Conclusions: Our results show that the limitations and challenges encountered in architecture decision-making during the development of quantum software systems are strongly linked to the particular features (e.g., quantum entanglement, superposition, and decoherence) of those systems. These issues mostly pertain to technical aspects and need appropriate measures to address them effectively. © 2024 Elsevier B.V.;"Architecture decision; Empirical study; GitHub; Quantum software system; Stack Exchange";"Application programs; Quantum electronics; Software architecture; Software design; Software reliability; Applications domains; Architecture decisions; Complex problems; Empirical studies; Github; New dimensions; Quantum Computing; Quantum software system; Software-systems; Stack exchange; Quantum entanglement";English;Article;Primary Study;Evaluation research;Software Architecture;O objetivo do estudo é analisar as decisões de arquitetura tomadas durante o desenvolvimento de software quântico. Os resultados incluem a identificação de padrões linguísticos, a categorização de decisões, domínios de aplicação, atributos de qualidade e desafios/limitações.;Decisões arquiteturais em software quânticos;Quantum software architectural patterns;
SCP0052;"Baczyk M.; Pérez-Castillo R.; Piattini M.";"Baczyk, Michal (57373014100); Pérez-Castillo, Ricardo (34977424500); Piattini, Mario (7004203473)";"Alarcos Research Group, University of Castilla-La Mancha, Ciudad Real, Spain; Alarcos Research Group, University of Castilla-La Mancha, Talavera de la Reina, Spain";Towards a Framework of Architectural Patterns for Quantum Software Engineering;2024;International Conference on Quantum Computing and Engineering;Quantum Computing and/or Information;QCE;228;233;0;Quantum software engineering (QSE) has emerged as a discipline to address the challenges associated with developing software systems in the context of advancing quantum computing technology. This paper explores architectural design patterns specific to QSE. Building on previous work highlighting the need for high-level patterns, we analyze emerging architectural approaches in quantum computing. We identify key challenges unique to hybrid quantum-classical systems and propose a preliminary taxonomy of QSE architectural patterns. These patterns address recurring design problems in areas such as quantum resource management and classical-quantum integration. We describe several potential patterns and discuss their theoretical applications in hybrid software systems. This work aims to provide a foundation for further research into standardizing QSE architectural practices, with the goal of enhancing various quality characteristics of hybrid software (e.g., modularity or maintainability) in the NISQ era and beyond. © 2024 IEEE.;"architectural patterns; maintainability; quantum software engineering; software patterns";"Architectural design; Computer software selection and evaluation; Maintainability; Quantum electronics; Resource allocation; Software architecture; Software quality; Architectural approach; Architectural pattern; Computing technology; Design Patterns; Design problems; Quantum Computing; Quantum software engineering; Quantum-classical systems; Software patterns; Software-systems; Application programs";English;Conference Paper;Primary Study;Philosophical papers;Software Architecture;"O artigo  tem como objetivo propor um framework multidimensional para a organização e descrição de padrões arquiteturais voltados à engenharia de software quântica. Diante dos desafios impostos pela computação híbrida quântico-clássica, os autores reconhecem a ausência de práticas arquiteturais sistematizadas e propõem um modelo que categoriza os padrões segundo cinco dimensões: nível de abstração, colaboração quântico-clássica, abordagem de escalabilidade, dinâmica temporal e estratégia de gerenciamento de recursos.

Como contribuição, o estudo apresenta e analisa cinco conceitos arquiteturais que ilustram a aplicação do framework proposto: Microserviços Híbridos Quântico-Clássicos, Pool de Recursos Quânticos, Pipeline Assíncrono Quântico-Clássico, Tecido de Computação Quântica Distribuída e Framework de Autoajuste Quântico-Clássico. Cada conceito é descrito com base em sua motivação, estrutura, benefícios e limitações, oferecendo um ponto de partida para padronização de práticas em QSE. Apesar de reconhecer que alguns padrões ainda carecem de evidência empírica, o artigo fornece uma base conceitual sólida para futuras pesquisas e aplicações práticas, sinalizando a importância de guiar decisões arquiteturais com abordagens específicas ao domínio quântico.";O artigo  tem como objetivo propor um framework multidimensional para a organização e descrição de padrões arquiteturais voltados à engenharia de software quântica. ;Quantum software architectural patterns;
SCP0001;"Ahmad A.; Khan A.A.; Waseem M.; Fahmideh M.; Mikkonen T.";"Ahmad, Aakash (36760479100); Khan, Arif Ali (26434399300); Waseem, Muhammad (57189504629); Fahmideh, Mahdi (43061009500); Mikkonen, Tommi (57220096141)";"University of ha'Il, College of Computer Science and Engineering, Saudi Arabia; University of Oulu, M3S Empirical Software Engineering Research Unit, Oulu, 90570, Finland; Wuhan University, School of Computer Science, Wuhan, China; School of Business at University of Southern Queensland, Queensland, Australia; University of Jyväskylä, Faculty of Information Technology, Jyväskylä, FI-40014, Finland";Towards Process Centered Architecting for Quantum Software Systems;2022;International Conference on Quantum Software;Quantum Software Engineering;QSW;26;31;17;Quantum Software Engineering (QSE) is a recent trend-focused on unifying the principles of quantum mechanics and practices of software engineering-to design, develop, validate, and evolve quantum age software systems and applications. Software architecture for quantum computing (a.k. a. quantum software architectures (QSA)) supports the design, development, and maintenance etc. phases of quantum software systems using architectural components and connectors. QSA can enable quantum software designers and developers to map the operations of Qubits to architectural components and connectors for implementing quantum software. This research aims to explore the role of QSAs by investigating (i) architectural process having architecting activities, and (ii) human roles that can exploit available tools to automate and customise architecture-centric implementation of quantum software. Results of this research can facilitate knowledge transfer, enabling researchers and practitioners, to address challenges of architecture-centric implementation of quantum software systems.  © 2022 IEEE.;"Architecture Process; Quantum Software Architecture; Quantum Software Engineering; Reference Architecture";"Application programs; Knowledge management; Quantum computers; Quantum theory; Software design; Architectural components; Architectural connectors; Architecture process; Architecture-centric; Quantum software architecture; Quantum software engineering; Recent trends; Reference architecture; Software applications; Software-systems; Software architecture";English;Conference Paper;Primary Study;Evaluation research;Software Engineering Process;"O artigo tem como objetivo propor um processo centrado em arquitetura para o desenvolvimento de sistemas de software quântico. A proposta busca preencher uma lacuna identificada na literatura, que carece de diretrizes sistemáticas e estruturadas para conduzir as atividades arquiteturais nesse domínio emergente. A pesquisa visa integrar práticas de engenharia de software com as especificidades da computação quântica, por meio de um modelo que articula atividades, papéis humanos e ferramentas de suporte.

Como contribuição, os autores apresentam um processo arquitetural composto por cinco atividades principais: levantamento de requisitos, modelagem, implementação, validação e implantação da arquitetura. O estudo também identifica os papéis humanos envolvidos no desenvolvimento, como o arquiteto de software quântico e o engenheiro de simulação quântica, além de mapear ferramentas que podem apoiar essas etapas. A proposta é validada por meio de um estudo de caso baseado em uma arquitetura de distribuição de chave quântica (QKD), demonstrando a aplicabilidade do processo. O artigo contribui ainda com a construção de um modelo de referência que pode orientar tanto pesquisadores quanto profissionais no desenvolvimento arquitetural de software quântico.";Definir um processo centrado em arquitetura para o desenvolvimento de sistemas de software quântico;Quantum software architecture;
SCP0112;"Lee D.; Kwon Y.; Kim K.; Lee J.; Choi B.-S.";"Lee, Duwon (58769086400); Kwon, Yong (57573875400); Kim, Kanghyeon (58769434800); Lee, Jaehyeok (58769010900); Choi, Byung-Soo (7402755228)";"Pukyong National University, Dept. of Physics, South Korea; Pukyong National University, Dept. of Computer Engineering, South Korea; Pukyong National University, Dept. of Scientific Computing, South Korea";A Design of Software Architecture for Validate and Verification of Linear-Optical Quantum Computing Platform;2023;International Conference on Quantum Computing and Engineering;Quantum Computing and/or Information;QCE;359;360;0;Compared to other semiconductor quantum computing platform, it is relatively untouched about the verification of linear-optical quantum computing (LOQC) platform. To overcome this problem, we propose a universal and versatile software platform which can support any variation of LOQC layout structure. It also supports the user-friendly interface for smooth experiment.  © 2023 IEEE.;;"Computing platform; Design of softwares; Layout structure; Linear optical quantum computing; Quantum Computing; Software platforms; User friendly interface; Verification";English;Conference Paper;Primary Study;Proposal of solution;Software Architecture;"O artigo tem como objetivo propor uma arquitetura de software universal e modular para validação e verificação de plataformas de computação quântica óptica linear (LOQC). A motivação central reside na dificuldade crescente de validar experimentalmente essas plataformas à medida que aumenta o número de qubits, sendo proposta uma solução que oferece uma interface amigável ao usuário e suporte a diferentes variações de estruturas LOQC, automatizando o processo de verificação por meio de protocolos como a Tomografia de Processos Quânticos (QPT).

Como contribuição, o trabalho apresenta uma arquitetura em camadas composta por módulos como Verificador, Decompositor, Mapeador e Controlador, capazes de transformar circuitos fornecidos em QASM em sequências de controle compatíveis com o hardware óptico. A plataforma permite mapear circuitos ideais para implementações reais, gerar matrizes χ como métrica de desempenho e executar experimentos com múltiplas configurações. Um estudo de caso com geração de estados de Bell demonstra a aplicabilidade da solução. O sistema proposto oferece flexibilidade para diferentes protocolos e promete integração futura com hardware real, contribuindo para a confiabilidade e reprodutibilidade da verificação de sistemas quânticos ópticos.";O artigo tem como objetivo propor uma arquitetura de software universal e modular para validação e verificação de plataformas de computação quântica óptica linear (LOQC).;Quantum software architecture;
SCP0136;Zhao J.;Zhao, Jianjun (35786932000);Kyushu University, Japan;Towards An Architecture Description Language for Hybrid Quantum-Classical Systems;2024;International Conference on Quantum Software;Quantum Software Engineering;QSW;19;23;0;The rapid development of quantum computing technology has opened new possibilities for solving complex problems beyond the capabilities of classical computing paradigms. However, combining quantum computing with classical systems to create Hybrid Quantum-Classical (HQC) software systems presents unique challenges that require novel approaches in software architecture. This paper proposes a foundation for developing Architecture Description Languages (ADLs) specifically for HQC systems. We aim to provide a robust framework for coherently describing, integrating, and analyzing quantum and classical computing elements. The paper discusses the design principles, methodology, and structural components of the architecture description languages and outlines future research directions.  © 2024 IEEE.;"architecture description language; hybrid quantum-classical system; Quantum computing; software architecture";"Computer architecture; Computer hardware description languages; Quantum electronics; Quantum optics; Architecture description languages; Classical computing; Classical systems; Complex problems; Computing paradigm; Computing technology; Hybrid quantum-classical system; Quantum Computing; Quantum-classical; Quantum-classical systems; Quantum computers";English;Conference Paper;Primary Study;Proposal of solution;Software Architecture;"O artigo propõe uma base para o desenvolvimento de Linguagens de Descrição de Arquitetura (ADLs) voltadas para sistemas híbridos quântico-clássicos (HQC). O objetivo é fornecer um framework formal que permita descrever, integrar e analisar de forma coerente os componentes quânticos e clássicos desses sistemas, enfrentando os desafios técnicos relacionados à sincronização, representação de estados, otimização de recursos e precisão na modelagem de características quânticas como superposição e emaranhamento.

As principais contribuições do estudo incluem a identificação das limitações das ADLs tradicionais frente aos requisitos de sistemas HQC e a proposição de princípios de design, metodologia de desenvolvimento e estrutura de linguagem para uma nova ADL capaz de integrar eficazmente os paradigmas quântico e clássico. O artigo também apresenta uma abordagem para representar características quânticas, definir interfaces de interação entre componentes e desenvolver ferramentas de apoio, estabelecendo uma base para futuras implementações e estudos de caso em engenharia de software para sistemas híbridos.";O objetivo é fornecer um framework formal que permita descrever, integrar e analisar de forma coerente os componentes quânticos e clássicos desses sistemas por meio de Architecture Description Language.;Quantum software architecture;
SCP0259;"Svore K.M.; Aho A.V.; Cross A.W.; Chuang I.; Markov I.L.";"Svore, Krysta M. (55898617400); Aho, Alfred V. (56914007400); Cross, Andrew W. (7202736359); Chuang, Isaac (7007024509); Markov, Igor L. (7102467660)";"Department of Computer Science, Columbia University, Columbia, NY, United States; Department of Electrical Engineering and Computer Science, Massachussetts Institute of Technology, Boston, MA, United States; Quanta Group, MIT Media Lab's Center for Bits and Atoms, United States; Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, United States";A layered software architecture for quantum computing design tools;2006;Computer;Computer Science;Computer;74;83;112;Compilers and computer-aided design tools are essential for fine-grained control of nanoscale quantum-mechanical systems. A proposed four-phase design flow assists with computations by transforming a quantum algorithm from a high-level language program into precisely scheduled physical actions. © 2006 IEEE.;;"Algorithms; Computer aided design; Error correction; Optimization; Program assemblers; Program compilers; Computer-aided design tools; Design flow; Nanoscale quantum-mechanical systems; Quantum algorithms; Quantum assembly programs; Software architecture; Computer architecture";English;Article;Primary Study;Proposal of solution;Software Architecture;"O artigo tem como objetivo propor uma arquitetura de software em camadas para ferramentas de projeto em computação quântica, com o intuito de organizar e modularizar os diferentes componentes envolvidos na modelagem, simulação e execução de circuitos quânticos. A proposta busca facilitar o desenvolvimento e a manutenção de ferramentas de software voltadas à computação quântica, promovendo reutilização, extensibilidade e interoperabilidade entre diferentes tecnologias.

Como contribuição, os autores apresentam uma arquitetura dividida em cinco camadas principais: interface do usuário, interface de design, representação intermediária, back-end quântico e hardware. Essa estrutura permite que diferentes ferramentas compartilhem componentes comuns e sejam facilmente adaptadas a novos requisitos ou plataformas de hardware. Além disso, o artigo exemplifica a aplicação da arquitetura em um ambiente de design real, destacando como ela permite uma integração mais eficiente entre linguagens de descrição de hardware quântico, simuladores e ferramentas de compilação. A abordagem propõe uma padronização conceitual para o desenvolvimento de software de apoio ao design quântico.";O artigo tem como objetivo propor uma arquitetura de software em camadas para ferramentas de projeto em computação quântica, com o intuito de organizar e modularizar os diferentes componentes envolvidos na modelagem, simulação e execução de circuitos quânticos.;Quantum software architecture;
SCP0355;"Aparicio-Morales Á.M.; Haghparast M.; Mäkitalo N.; Garcia-Alonso J.; Berrocal J.; Stirbu V.; Mikkonen T.; Murillo J.M.";"Aparicio-Morales, Álvaro M. (58769376000); Haghparast, Majid (23094283500); Mäkitalo, Niko (54420686000); Garcia-Alonso, Jose (55892225800); Berrocal, Javier (32667521200); Stirbu, Vlad (57249175700); Mikkonen, Tommi (57220096141); Murillo, Juan Manuel (8687210000)";"Quercus Software Engineering Group, University of Extremadura, Cáceres, Spain; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland";Liquifying Quantum-Classical Software-Intensive System of Systems;2024;International Conference on Software Analysis, Evolution and Reengineering ;Software Engineering;SANER;159;166;0;Software-Intensive Systems are applications that use a high amount of computational resources for the execution of complex tasks in which a constant flow of information is needed. In the current conception of the computing continuum, such computational resources are spread in the infrastructure from the Cloud to the Edge and the tasks are mapped on resources following placing and replacing strategies. In this scope, this paper puts together two emergent paradigms. On the one hand, the emergence of the Quantum Computation paradigm will allow these intensive systems to incorporate specific tasks that are unaffordable by classic computers. On the other hand, the liquid software model proposes a fluid movement of the software and information from one device to another. Therefore, in this paper, we present a broad overview of software-intensive systems from a liquid software perspective and support quantum functionalities in their processes. To provide a better understanding of how these systems can take form, we explore a case study based on weather forecasts. ©2024 IEEE.;"Computing Continuum; Liquid software; Quantum computing; Quantum Software Engineering; Software-Intensive Systems of Systems";"Application programs; Computer software selection and evaluation; Quantum electronics; Complex task; Computational resources; Computing continuum; Liquid software; Quantum Computing; Quantum software engineering; Quantum-classical; Software intensive systems; Software-intensive system of system; System-of-systems; Quantum computers";English;Conference Paper;Primary Study;Opinion papers;Software Architecture;"O artigo tem como objetivo explorar os desafios e propor uma abordagem para a integração fluida de sistemas de software intensivos compostos por componentes clássicos e quânticos. O foco está em como arquitetar e orquestrar esses sistemas de forma adaptável e resiliente, levando em consideração a natureza dinâmica e incerta da computação quântica, bem como os requisitos específicos de interoperabilidade entre paradigmas distintos.

Como principais contribuições, o estudo propõe uma visão de “liquefação” de sistemas ciberfísicos, onde componentes quânticos e clássicos podem ser integrados de forma flexível, adaptando-se a mudanças em tempo de execução. Os autores introduzem conceitos arquiteturais e estratégias de orquestração para lidar com incertezas e flutuações na disponibilidade ou precisão de recursos quânticos. A abordagem é ilustrada com exemplos aplicados ao domínio de previsão de tráfego aéreo, demonstrando a viabilidade do modelo proposto para cenários reais. O trabalho amplia a discussão sobre engenharia de software para sistemas quânticos complexos, destacando a necessidade de soluções adaptativas para ambientes híbridos.";O artigo tem como objetivo explorar os desafios e propor uma abordagem para a integração fluida de sistemas de software intensivos compostos por componentes clássicos e quânticos.;Quantum software architecture;
SCP0369;"Barletta V.S.; Caivano D.; Lako A.; Pal A.";"Barletta, Vita Santa (57205505690); Caivano, Danilo (6603243250); Lako, Alfred (58197952500); Pal, Anibrata (57991725600)";"University of Bari Aldo Moro, Bari, Italy; Polytechnic University of Tirana, Tirana, Albania";Quantum as a Service Architecture for Security in a Smart City;2023;Communications in Computer and Information Science;Quantum Computing and/or Information;Commun. Comput. Info. Sci.;76;89;6;Smart Cities are becoming a reality now with ample interest and investment from both government and private entities. As the number of Smart Cities increases, so does the sheer size and variety of data, the major part of which comes from Internet of Things (IoT) sensors embedded in devices. Millions of intelligent devices may be vulnerable to cyberattacks or threats, potentially harming one or more connected devices or exposing sensitive data. Therefore, Smart Cities have Intelligent Operations Centers (IOC), using different machine learning (ML) algorithms to monitor the data and take necessary actions to protect or contain any security incident. The advent of Quantum Computing (QC) has led to many initiatives for using QC in various applications of a Smart City but using Quantum Computing as a service is not yet fully contemplated in this context. In this work, we propose an architecture for Smart City security using Quantum as a Service (QaaS) for analyzing and classifying Smart City data. The proposed architecture uses two different Quantum Classifiers, implemented in the D-Wave Leap Quantum Cloud (QBoost) and IBM Quantum Services (Variational Quantum Classifier), for real-time classification of data and displays security incidents on a conveniently designed dashboard for further actions by the Security Operations Center (SOC) specialist. Further experiments have shown that D-Wave Leap Quantum Cloud-based QBoost performed the best among the quantum classifiers both regarding quality and time. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.;"Quantum as a service; Quantum Computing; Smart City; Software Engineering";"Internet of things; Machine learning; Sensitive data; Smart city; Software engineering; Cyber-attacks; Intelligent devices; Intelligent operations; Operation center; Quantum as a service; Quantum Computing; Security incident; Sensitive datas; Services Architectures; Sheer size; Classification (of information)";English;Conference Paper;Primary Study;Proposal of solution;Software Architecture;"Os objetivos principais são definidos por duas questões de pesquisa: RQ1, determinar qual arquitetura é adequada para QaaS (Quantum as a Service) para Segurança em Cidades Inteligentes; e RQ2, analisar os resultados de testes exemplares na arquitetura proposta.";Determinar qual arquitetura é adequada para QaaS para Segurança em Cidades Inteligentes ;Quantum software architecture;
